Student_ID,College,Year_Level,Prior_GWA,Final_Grade,Reading_Dependency_Score,Writing_Dependency_Score,Numeracy_Dependency_Score,Motivation_Score,Environment_Score,AI_Dependency_Index,AI_Sessions_Week,Avg_Session_Duration_Min,AI_Tools_Count,Primary_AI_Tool,Usage_Purpose_Buckets,Study_Hours_Per_Week,Assignment_Submission_Punctuality,LMS_Activity_Level,Grade_Improvement_Delta,High_Risk_Flag
C001,College of Teacher Education,1,1.64,2.9,4.8,5.2,4.4,5.6,4.9,4.8,6,25,3,ChatGPT,Grammar,10,0.92,15,0.05,0
C002,College of Engineering,2,1.46,2.8,6.1,6.4,5.9,4.1,3.8,6.1,9,40,5,Gemini,Problem-solving,8,0.85,20,-0.4,1
C003,College of Computer Studies,3,1.64,3.25,3.9,4.2,3.8,6.2,5.7,4.0,5,18,4,Grammarly,Essay writing,12,0.96,22,0.35,0
C004,College of Business Administration and Accountancy,4,1.33,3.7,4.2,4.1,3.7,5.9,5.2,4.0,4,20,3,ChatGPT,Research,14,0.95,25,0.2,0
C005,College of Industrial Technology,3,1.85,2.6,6.3,6.6,6.1,4.0,4.5,6.3,10,45,6,ChatGPT,Problem-solving,6,0.8,12,-0.15,1
C006,College of Arts and Sciences,2,1.26,3.1,3.8,3.6,3.5,6.4,5.9,3.6,3,10,2,Grammarly,Proofreading,11,0.97,20,0.1,0
C007,College of International Hospitality and Tourism Management,1,1.16,2.4,6.0,6.1,5.8,3.8,4.1,6.0,8,30,4,Gemini,Summary,9,0.88,10,-0.2,1
C008,College of Criminal Justice Education,4,1.83,3.4,4.5,4.8,4.2,5.7,5.3,4.5,5,22,3,ChatGPT,Brainstorming,13,0.94,26,0.15,0
C009,College of Teacher Education,2,1.58,3.05,4.1,4.3,3.9,6.0,5.5,4.1,4,15,3,Grammarly,Essay writing,12,0.95,24,0.1,0
C010,College of Engineering,3,1.86,3.15,5.2,5.5,6.0,5.1,4.8,5.6,7,35,5,ChatGPT,Coding,9,0.9,18,0.05,0
C011,College of Computer Studies,1,1.67,2.8,4.5,4.7,5.0,5.8,5.2,4.7,6,25,4,Gemini,Problem-solving,11,0.93,21,0.1,0
C012,College of Business Administration and Accountancy,4,1.19,3.55,3.8,4.0,3.6,6.3,6.0,3.8,3,12,2,Grammarly,Proofreading,15,0.98,28,-0.05,0
C013,College of Industrial Technology,2,1.5,2.5,6.5,6.7,6.2,3.5,4.0,6.5,11,50,6,ChatGPT,Problem-solving,5,0.75,8,-0.3,1
C014,College of Arts and Sciences,3,1.54,3.3,4.0,4.2,3.9,6.1,5.6,4.0,5,20,3,ChatGPT,Research,13,0.96,23,0.15,0
C015,College of International Hospitality and Tourism Management,4,1.58,3.45,3.7,3.8,3.5,6.5,6.1,3.7,3,15,2,Grammarly,Grammar,14,0.97,25,0.05,0
C016,College of Criminal Justice Education,1,1.84,2.65,5.0,5.3,4.8,5.4,4.7,5.0,7,30,4,Gemini,Summary,10,0.91,16,0.1,0
C017,College of Teacher Education,3,1.88,3.2,3.6,3.9,3.5,6.2,5.8,3.7,4,18,3,Grammarly,Essay writing,13,0.96,24,0.15,0
C018,College of Engineering,4,1.38,3.1,5.8,6.0,6.5,4.5,4.2,6.1,9,45,6,ChatGPT,Coding,7,0.86,15,-0.2,1
C019,College of Computer Studies,2,1.24,2.95,4.3,4.5,4.8,5.7,5.1,4.5,5,22,4,Gemini,Problem-solving,11,0.94,20,0.1,0
C020,College of Business Administration and Accountancy,1,1.67,3.5,3.5,3.7,3.4,6.6,6.2,3.5,3,10,2,Grammarly,Proofreading,16,0.99,29,0.05,0
C021,College of Industrial Technology,4,1.24,2.75,6.2,6.5,6.0,3.9,4.4,6.2,10,40,5,ChatGPT,Problem-solving,6,0.82,11,-0.15,1
C022,College of Arts and Sciences,1,1.1,3.35,3.9,4.1,3.8,6.0,5.5,3.9,4,18,3,ChatGPT,Research,12,0.95,22,0.15,0
C023,College of International Hospitality and Tourism Management,2,1.14,2.85,5.5,5.8,5.2,5.0,4.6,5.5,8,35,5,Gemini,Summary,9,0.89,14,0.1,0
C024,College of Criminal Justice Education,3,1.61,3.4,4.2,4.4,4.0,5.8,5.3,4.2,5,25,4,ChatGPT,Brainstorming,13,0.93,21,0.05,0
C025,College of Teacher Education,4,1.24,3.6,3.4,3.6,3.3,6.7,6.3,3.4,3,12,2,Grammarly,Grammar,15,0.98,27,0.1,0
C026,College of Engineering,1,1.76,2.85,5.9,6.2,6.4,4.3,4.0,6.2,10,50,6,ChatGPT,Coding,6,0.84,13,-0.15,1
C027,College of Computer Studies,4,1.51,3.25,4.0,4.3,4.5,6.1,5.6,4.3,5,20,4,Gemini,Problem-solving,14,0.96,25,0.1,0
C028,College of Business Administration and Accountancy,2,1.15,3.65,3.6,3.8,3.5,6.5,6.1,3.6,3,15,3,Grammarly,Proofreading,15,0.97,26,0.1,0
